zOverallRank,Date,team,stat,value,zscore,rank
151,20251022,Detroit Red Wings,HDF%,51.9,0.335344774,12
152,20251022,Pittsburgh Penguins,HDF%,51.9,0.335344774,12
153,20251022,Columbus Blue Jackets,SCF%,51.4,0.334487669,11
154,20251022,Philadelphia Flyers,FOW%,51.3,0.324478286,12
155,20251022,Vegas Golden Knights,xGF,14.1,0.312607513,10
156,20251022,Ottawa Senators,HDC%,8.9,0.285350815,13
157,20251022,Tampa Bay Lightning,xGA,12.8,0.284685516,14
158,20251022,Chicago Blackhawks,PK%,81.82,0.283381344,13
159,20251022,Pittsburgh Penguins,PK%,81.82,0.283381344,13
160,20251022,New York Islanders,PP%,22.73,0.279712763,13
161,20251022,Seattle Kraken,PP%,22.73,0.279712763,13
162,20251022,Vegas Golden Knights,Pen Drawn/60,4.2,0.277933636,14
163,20251022,Nashville Predators,Pen Taken/60,3.75,0.272455626,14
164,20251022,St. Louis Blues,xGF,14,0.270398903,11
165,20251022,Toronto Maple Leafs,HDF%,51.4,0.263227618,14
166,20251022,New Jersey Devils,CF%,51.6,0.255061499,13
167,20251022,Florida Panthers,CF%,51.6,0.255061499,13
168,20251022,Utah Mammoth,CF%,51.6,0.255061499,13
169,20251022,Nashville Predators,SCF%,51,0.252152243,12
170,20251022,Anaheim Ducks,HDF%,51.3,0.248804187,15
171,20251022,Carolina Hurricanes,Net Pen/60,0.2,0.22504277,13
172,20251022,Utah Mammoth,Net Pen/60,0.2,0.22504277,13
173,20251022,Seattle Kraken,Net Pen/60,0.19,0.214031503,15
174,20251022,Toronto Maple Leafs,SCF%,50.8,0.21098453,13
175,20251022,Detroit Red Wings,PP%,22.22,0.200405739,15
176,20251022,Boston Bruins,Pen Drawn/60,4.14,0.194553545,15
177,20251022,Los Angeles Kings,xGF,13.8,0.185981685,12
178,20251022,Carolina Hurricanes,Pen Drawn/60,4.11,0.1528635,16
179,20251022,Pittsburgh Penguins,SCF%,50.5,0.14923296,14
180,20251022,Nashville Predators,xGF,13.7,0.143773075,13
181,20251022,Ottawa Senators,HDF%,50.5,0.133416738,16
182,20251022,Calgary Flames,xGA,13.1,0.130279812,15
183,20251022,Columbus Blue Jackets,CF%,51,0.116723059,16
184,20251022,Philadelphia Flyers,Pen Taken/60,3.9,0.112579464,15
185,20251022,Montreal Canadiens,HDCO%,8.1,0.108425063,11
186,20251022,Montreal Canadiens,Pen Taken/60,3.91,0.101921053,16
187,20251022,Ottawa Senators,xGF,13.6,0.101564466,14
188,20251022,Edmonton Oilers,PK%,80,0.100672062,15
189,20251022,Columbus Blue Jackets,HDC%,8.3,0.100258395,14
190,20251022,Carolina Hurricanes,Pen Taken/60,3.92,0.091262642,17
191,20251022,New York Islanders,HDC%,8.2,0.069409658,15
192,20251022,Calgary Flames,HDF%,50,0.061299582,17
193,20251022,New York Islanders,CF%,50.7,0.047553839,17
194,20251022,San Jose Sharks,Pen Taken/60,3.97,0.037970588,18
195,20251022,Winnipeg Jets,xGA,13.3,0.027342677,16
196,20251022,Montreal Canadiens,FOW%,50,0.025843403,13
197,20251022,Columbus Blue Jackets,xGF,13.4,0.017147248,15
198,20251022,Vancouver Canucks,HDC%,8,0.007712184,16
199,20251022,Florida Panthers,Pen Taken/60,4,0.005995356,19
200,20251022,New Jersey Devils,Pen Taken/60,4,0.005995356,19
201,20251022,Buffalo Sabres,SCF%,49.8,0.005145964,15
202,20251022,Philadelphia Flyers,SCF%,49.8,0.005145964,15
203,20251022,Vegas Golden Knights,SCF%,49.8,0.005145964,15
204,20251022,Edmonton Oilers,Net Pen/60,0,0.004817429,16
205,20251022,New York Islanders,Pen Drawn/60,4,0,17
206,20251022,Toronto Maple Leafs,PK%,78.95,-0.00473714,16
207,20251022,St. Louis Blues,FOW%,49.8,-0.020100425,14
208,20251022,Buffalo Sabres,CF%,50.4,-0.021615381,18
209,20251022,Colorado Avalanche,xGA,13.4,-0.024125891,17
210,20251022,Anaheim Ducks,PK%,78.57,-0.042885232,17
211,20251022,Florida Panthers,PP%,20.59,-0.053065729,16
212,20251022,Florida Panthers,HDCO%,7.5,-0.056794081,12
213,20251022,Buffalo Sabres,xGF,13.2,-0.067269971,16
214,20251022,Detroit Red Wings,Pen Drawn/60,3.95,-0.069483409,18
215,20251022,Los Angeles Kings,HDF%,49,-0.082934729,18
216,20251022,New York Islanders,FOW%,49.5,-0.089016167,15
217,20251022,Dallas Stars,Pen Drawn/60,3.93,-0.097276773,19
218,20251022,Anaheim Ducks,SCF%,49.3,-0.097773319,18
219,20251022,Edmonton Oilers,SCF%,49.3,-0.097773319,18
220,20251022,Detroit Red Wings,HDCO%,7.3,-0.111867128,13
221,20251022,Anaheim Ducks,FOW%,49.4,-0.111988081,16
222,20251022,Nashville Predators,HDC%,7.6,-0.115682763,17
223,20251022,Tampa Bay Lightning,SCF%,49.2,-0.118357175,20
224,20251022,St. Louis Blues,PK%,77.78,-0.122193107,18
