"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"137","0:14","0.0","ALEXANDER WENNBERG - NOAH GREGOR - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"138","0:14","0.0","RYAN REAVES - BARCLAY GOODROW - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"139","0:14","0.0","ALEXANDER WENNBERG - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"140","0:14","0.0","BARCLAY GOODROW - TY DELLANDREA - CAM LUND","0","0","0","0","0","0.0","0","2","0.0"
"141","0:14","0.0","CARL GRUNDSTROM - THOMAS BORDELEAU - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"142","0:14","0.0","BARCLAY GOODROW - CARL GRUNDSTROM - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"143","0:13","0.0","PHILIPP KURASHEV - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"144","0:13","0.0","RYAN REAVES - ADAM GAUDETTE - WILLIAM EKLUND","0","0","0","1","0","100.0","1","0","100.0"
"145","0:13","0.0","WILLIAM EKLUND - MACKLIN CELEBRINI - MICHAEL MISA","0","0","0","0","0","0.0","1","0","100.0"
"146","0:13","0.0","WILLIAM EKLUND - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
"147","0:13","0.0","TY DELLANDREA - WILL SMITH - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"148","0:13","0.0","RYAN REAVES - ADAM GAUDETTE - PHILIPP KURASHEV","0","0","0","0","0","0.0","0","0","0.0"
"149","0:12","0.0","CARL GRUNDSTROM - TY DELLANDREA - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"150","0:12","0.0","TY DELLANDREA - WILLIAM EKLUND - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
