team,stat,value,zscore
Los Angeles Kings,HDCO%,5.4,-0.6546512625862048
Philadelphia Flyers,CF%,45.4,-1.026753140994859
Philadelphia Flyers,xGF,6.6,-1.3992207188525643
Philadelphia Flyers,xGA,7.5,1.1430790366443961
Philadelphia Flyers,SCF%,46.2,-0.6402710128237076
Philadelphia Flyers,HDF%,44.7,-0.6959624120050814
Philadelphia Flyers,HDC%,4.5,-0.952798861555935
Philadelphia Flyers,HDCO%,7.1,-0.24006419990064587
San Jose Sharks,CF%,35.1,-3.1287272731184923
San Jose Sharks,xGF,6.1,-1.6446980379495053
San Jose Sharks,xGA,10.6,-0.6858474219866375
San Jose Sharks,SCF%,35.6,-2.6057002214191973
San Jose Sharks,HDF%,35.3,-2.109503894321953
San Jose Sharks,HDC%,21.7,3.005091654673398
San Jose Sharks,HDCO%,13.2,1.2475717309122427
Calgary Flames,CF%,51.4,0.19769780975677237
Calgary Flames,xGF,8.6,-0.4173114424648004
Calgary Flames,xGA,10.4,-0.5678521665910873
Calgary Flames,SCF%,51.3,0.30536002150053637
Calgary Flames,HDF%,47.8,-0.2297944763473907
Calgary Flames,HDC%,8.6,-0.009348215245454539
Calgary Flames,HDCO%,14.6,1.5889963707709385
Columbus Blue Jackets,CF%,47.9,-0.5165652448483459
Columbus Blue Jackets,xGF,8.5,-0.4664069062841884
Columbus Blue Jackets,xGA,10.0,-0.331861655799986
Columbus Blue Jackets,SCF%,50.2,0.10140038664628852
Columbus Blue Jackets,HDF%,48.5,-0.12453074894081477
Columbus Blue Jackets,HDC%,11.1,0.5659265690902043
Columbus Blue Jackets,HDCO%,2.9,-1.264338119476733
Buffalo Sabres,CF%,48.7,-0.35330511808146087
Buffalo Sabres,xGF,8.3,-0.5645978339229645
Buffalo Sabres,xGA,9.2,0.14011936578221673
Buffalo Sabres,SCF%,44.4,-0.9740231425852065
Buffalo Sabres,HDF%,49.0,-0.04934237222183226
Buffalo Sabres,HDC%,7.4,-0.2854801117265706
Buffalo Sabres,HDCO%,7.1,-0.24006419990064587
New York Islanders,CF%,54.1,0.748700737595007
New York Islanders,xGF,8.2,-0.6136932977423534
New York Islanders,xGA,9.0,0.2581146211777669
New York Islanders,SCF%,51.3,0.30536002150053637
New York Islanders,HDF%,45.2,-0.6207740352860989
New York Islanders,HDC%,5.7,-0.6766669650748187
New York Islanders,HDCO%,7.0,-0.2644516741762669
